ISO_Code,Country_Name,SDG_Region,SDG_Subregion,UNICEF_Region,UNICEF_Programme_Region,Uncertainty_Bounds,10q5_1990,10q5_1991,10q5_1992,10q5_1993,10q5_1994,10q5_1995,10q5_1996,10q5_1997,10q5_1998,10q5_1999,10q5_2000,10q5_2001,10q5_2002,10q5_2003,10q5_2004,10q5_2005,10q5_2006,10q5_2007,10q5_2008,10q5_2009,10q5_2010,10q5_2011,10q5_2012,10q5_2013,10q5_2014,10q5_2015,10q5_2016,10q5_2017,10q5_2018,10q5_2019,10q5_2020,10q5_2021,10q5_2022,Deaths_age_5to14_1990,Deaths_age_5to14_1991,Deaths_age_5to14_1992,Deaths_age_5to14_1993,Deaths_age_5to14_1994,Deaths_age_5to14_1995,Deaths_age_5to14_1996,Deaths_age_5to14_1997,Deaths_age_5to14_1998,Deaths_age_5to14_1999,Deaths_age_5to14_2000,Deaths_age_5to14_2001,Deaths_age_5to14_2002,Deaths_age_5to14_2003,Deaths_age_5to14_2004,Deaths_age_5to14_2005,Deaths_age_5to14_2006,Deaths_age_5to14_2007,Deaths_age_5to14_2008,Deaths_age_5to14_2009,Deaths_age_5to14_2010,Deaths_age_5to14_2011,Deaths_age_5to14_2012,Deaths_age_5to14_2013,Deaths_age_5to14_2014,Deaths_age_5to14_2015,Deaths_age_5to14_2016,Deaths_age_5to14_2017,Deaths_age_5to14_2018,Deaths_age_5to14_2019,Deaths_age_5to14_2020,Deaths_age_5to14_2021,Deaths_age_5to14_2022
AFG,Afghanistan,Central and Southern Asia,Southern Asia,South Asia,South Asia,Lower,8.225060742,7.59106804,7.086233556,6.749230042,6.590662538,6.500533342,6.585449344,6.814763786,9.259066839,7.158106105,7.175475398,7.065509428,6.999889456,7.014047861,7.14697191,7.447196302,7.846246841,8.216220322,8.398707586,8.362947005,8.161454872,7.7949438,7.256730116,6.596557923,5.933452175,5.467013455,5.293936118,5.364278612,5.640262367,5.941923215,                             ,6.192586552,6.071026743,3871,3455,3294,3677,3871,3983,3945,3962,5379,4276,4462,4376,4462,4963,5332,5693,6230,6738,7074,7267,7284,7117,6826,6339,5788,5449,5358,5506,5920,6390,6874,7201,7425
AFG,Afghanistan,Central and Southern Asia,Southern Asia,South Asia,South Asia,Median,18.56269249,16.96319305,15.49486871,14.25773568,13.11020066,12.19576047,11.39186004,10.74001781,13.51958809,9.862987325,9.563604687,9.296804202,9.115868225,9.020588702,9.048968916,9.245525973,9.590924633,9.9539607,10.21441368,10.25697909,9.992884615,9.489625778,8.850103529,8.176550402,7.573828378,7.211327753,7.074228325,7.13223205,7.38522888,7.818157715,8.367177521,8.996101605,9.57257834,5800,5146,4885,5417,5625,5687,5571,5502,7258,5566,5684,5507,5593,6146,6537,6878,7424,7989,8429,8741,8755,8531,8182,7723,7281,7067,7039,7224,7634,8255,9034,9937,10777
AFG,Afghanistan,Central and Southern Asia,Southern Asia,South Asia,South Asia,Upper,40.01854462,35.16473278,30.19688759,26.17241006,22.86285036,19.80391513,17.62086636,15.82325584,19.17410093,13.59719165,12.83289363,12.24840465,11.83383378,11.47505148,11.31949566,11.31462243,11.53941461,11.96819132,12.42435544,12.72108144,12.53086114,11.7060115,10.73549375,9.972386724,9.55783297,9.345820594,9.290838361,9.356423782,9.594818778,10.10453112,11.07014199,12.54079152,14.5683884,12469,10561,9432,9723,9521,8911,8279,7789,9912,7392,7375,7034,7052,7637,8005,8266,8779,9447,10085,10674,10807,10398,9820,9331,9087,9059,9153,9397,9822,10549,11807,13645,16096
AGO,Angola,Sub-Saharan Africa,,Eastern and Southern Africa,Eastern and Southern Africa,Lower,43.34127793,37.19470573,43.4927042,37.09437675,36.97516087,36.82471156,36.51558724,36.0779012,35.49630199,34.78671621,33.97198526,33.03008793,31.90795107,30.67219433,29.30202566,27.85319706,26.32638622,24.81327949,23.3222954,21.86651304,20.53636331,19.2140577,18.02271802,16.98377491,16.08901853,15.3182031,14.66965529,14.06810606,13.53145465,13.03703679,12.59042236,12.18924541,11.81081995,14636,13037,15901,14047,14533,15001,15395,15713,15943,16092,16171,16171,16063,15879,15611,15288,14909,14527,14142,13755,13420,13055,12739,12495,12318,12200,12140,12086,12051,12019,11996,11979,11955
AGO,Angola,Sub-Saharan Africa,,Eastern and Southern Africa,Eastern and Southern Africa,Median,55.57898099,47.69688254,55.7731635,47.568225,47.41534771,47.22241802,46.82601036,46.2647407,45.51892302,44.60898089,43.56420515,42.35635673,40.91737694,39.33269593,37.57565086,35.7177357,33.75981949,31.81947684,29.90750331,28.04067095,26.33494443,24.63927689,23.11155439,21.77925867,20.63186176,19.64340139,18.81173171,18.04033099,17.35215243,16.71813233,16.1454133,15.63096132,15.14568487,18882,16805,20513,18106,18731,19337,19841,20252,20546,20737,20836,20833,20690,20451,20100,19680,19188,18693,18194,17693,17257,16786,16377,16060,15832,15677,15599,15528,15483,15441,15408,15387,15354
AGO,Angola,Sub-Saharan Africa,,Eastern and Southern Africa,Eastern and Southern Africa,Upper,70.79494392,60.75494845,71.04228814,60.59106809,60.39633729,60.15058887,59.64565594,58.93072642,57.98072482,56.82166611,55.49086013,53.95233676,52.11940475,50.10088262,47.86280799,45.49624787,43.00230924,40.5307553,38.09533715,35.71741856,33.54471207,31.3848184,29.43884842,27.74180758,26.28028565,25.0212126,23.96185515,22.97926658,22.10268407,21.2950871,20.56557368,19.91027922,19.29214772,24234,21545,26331,23211,24013,24787,25434,25959,26334,26574,26699,26689,26503,26190,25735,25190,24553,23913,23269,22620,22060,21450,20925,20517,20221,20022,19919,19826,19769,19712,19670,19640,19599
AIA,Anguilla,Latin America and the Caribbean,,Latin America and Caribbean,Latin America and Caribbean,Lower,2.642688689,2.548791306,2.459980946,2.376639523,2.298053592,2.221915247,2.152799478,2.090553179,2.028834504,1.972969415,1.916817297,1.868528113,1.82278475,1.777564363,1.736564118,1.695638305,1.659195051,1.624507609,1.59001789,1.55538452,1.522872765,1.490112091,1.460796855,1.434397385,1.409353752,1.381317931,1.351719884,1.320243643,1.290511597,1.261503118,1.231072194,1.203374817,1.176849281,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIA,Anguilla,Latin America and the Caribbean,,Latin America and Caribbean,Latin America and Caribbean,Median,3.365288195,3.245716125,3.132622041,3.026492285,2.926418332,2.829461215,2.741446882,2.662180363,2.583585737,2.512445264,2.440939278,2.379446215,2.321195086,2.263609933,2.21139885,2.15928255,2.11287449,2.068702342,2.024781979,1.980678688,1.939277131,1.897558592,1.86022759,1.826609622,1.794718221,1.759016469,1.721325326,1.681242428,1.643380645,1.606440277,1.56768852,1.532417753,1.498639249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AIA,Anguilla,Latin America and the Caribbean,,Latin America and Caribbean,Latin America and Caribbean,Upper,4.33058866,4.176718495,4.031184464,3.89461241,3.765833209,3.641064878,3.527804483,3.425801127,3.324662391,3.233115959,3.14109917,3.061967416,2.987007512,2.912904613,2.845717284,2.778651926,2.718932162,2.662089659,2.605571164,2.548817268,2.495540074,2.441854975,2.393815934,2.350554976,2.309515835,2.26357338,2.215070896,2.163490605,2.114768534,2.067232179,2.017364854,1.971977008,1.928509465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALB,Albania,Europe and Northern America,Europe,Eastern Europe and Central Asia,Europe and Central Asia,Lower,6.089078592,5.753764973,5.408650915,5.076963554,4.776370254,4.518722926,4.304771961,5.029722662,3.976701728,3.85229599,3.733080107,3.615078692,3.496045974,3.371810167,3.244229815,3.116962152,2.998862198,2.886322867,2.782339914,2.686391949,2.595481103,2.510943897,2.429560883,2.351460489,2.272124835,2.187270653,2.10099348,2.006453565,1.910760924,1.80961329,1.706173517,1.601854485,1.503228901,424,401,378,355,334,315,299,346,270,257,244,231,217,203,188,173,159,146,134,123,113,104,96,89,83,78,73,68,64,60,56,52,48
